Famille;Sous famille;Désignation;Fournisseur;Fabricant;Ref fournisseur;tenu en stock;Conditionnement;Multiple cde;Unité Qte; Ancien Prix/U HT ;Prix/U HT;unité / prix;Coeff conversion;date prix
Mastic;;ACO PLUS Blanc;ACDIS;;N820-000300B;Non;300 ml;;UN; 1,48 ;5,30;UN;;
Mastic;;Mastic Acrylique extèrieur Blanc;ACDIS;;;Non;300 ml;;UN;;1,30;UN;;
Mastic;;Mastic Acrylique extèrieur Noir;ACDIS;;;Non;300 ml;;UN;;1,30;UN;;
Mastic;;Mastic Acrylique interieur Blanc;ACDIS;;;Non;300 ml;;UN;;1,30;UN;;
Mastic;;Mastic Acrylique interieur Noir;ACDIS;;;Non;300 ml;;UN;;1,30;UN;;
Peinture;;Aerosol  RAL 3004;ACDIS;;OAC520O;Non;520 ml;;UN;;22,89;UN;;
Peinture;;Aerosol  RAL 3004;ACDIS;;OAC520O;Non;520 ml;;UN;;22,89;UN;;
Cale;;Cale Bois 18x70x4 mm;ACDIS;;;Non;;;UN;;;UN;;
Cale;;Cale Bois 18x70x5 mm;ACDIS;;;Non;;;UN;;;UN;;
Conpri bande;;Fond de joint mousse cylindrique diam 20;ACDIS;;OFJPU20A;Non;;;ML2;;29,46;;;
Conpri bande;;Fond de joint mousse cylindrique diam 30;ACDIS;;OFJPU30A;Non;;;ML2;;46,84;;;
Conpri bande;;Fond de joint mousse cylindrique diam 40;ACDIS;;OFJPU40A;Non;;;ML2;;85,42;;;
Mastic;;Silicon 7016;ACDIS;;;Non;300 ml;;UN;;;UN;;
Mastic;;Silicon Blanc;ACDIS;;N820-000300A;Non;300 ml;;UN; 1,48 ;1,67;UN;;
Mastic;;Silicon Noir;ACDIS;;N820-000300E;Non;300 ml;;UN;;1,67;UN;;
Mastic;;Silicon Pierre;ACDIS;;;Non;300 ml;;UN;;1,67;;;
Mastic;;Silicon translucide;ACDIS;;N820-000300B;Non;300 ml;;UN; 1,48 ;1,67;UN;;
Mastic;;Mastic Colle PU blanc;ACDIS;;;Non;300 ml;;UN;;2,15;;;
Accessoire;;Plat liaison alu 150mm - 5mm;AKRAPLAST;AKRAPLAST;ZO800-130;Non;6;1;barre;;18,94;Barre;;
Accessoire;;Platine Mixte 160x112x5;AKRAPLAST;AKRAPLAST;ZO810-370;Non;1;1;UN;;;UN;;
